,0,1,2,3
725,Your Love, Nicki Minaj,spotify:track:3bGxiCPouq52ZtI8ybMCX5,2010
726,All I Do Is Win," DJ Khaled Featuring T-Pain, Ludacris, Snoop Dogg & Rick Ross",N/A,2010
727,Havent Met You Yet, Michael Buble,spotify:track:4fIWvT19w9PR0VVBuPYpWA,2010
728,The House That Built Me, Miranda Lambert,spotify:track:02eD9ymfJOJOhM97HYp5R9,2010
729,Telephone, Lady Gaga Featuring Beyonce,spotify:track:0Usd4tz29zKhRjoEp1AW9A,2010
730,Over, Drake,spotify:track:6BdgtqiV3oXNqBikezwdvC,2010
731,I Like It, Enrique Iglesias Featuring Pitbull,spotify:track:3ZS81p0k0jf3BgBZC9Flk7,2010
732,Never Say Never, Justin Bieber Featuring Jaden Smith,spotify:track:0CECPjN001BZEKLWtDaOKW,2010
733,My Chick Bad, Ludacris Featuring Nicki Minaj,spotify:track:0xqdUw0XJaOWOQFy1JwpKs,2010
734,I Made It (Cash Money Heroes)," Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",N/A,2010
735,This Afternoon, Nickelback,spotify:track:1RG8MABX0VciDk6WYb8pBv,2010
736,Faithfully, Glee Cast,spotify:track:7Fn84f1WeWabP3aFXW5TA8,2010
737,TiK ToK, Ke$ha,spotify:track:5OMwQFBcte0aWFJFqrr5oj,2010
738,If We Ever Meet Again, Timbaland Featuring Katy Perry,spotify:track:360UM2DaiHZPRu0EsrOvMp,2010
739,I Gotta Feeling, The Black Eyed Peas,spotify:track:4vp2J1l5RD4gMZwGFLfRAu,2010
740,Pray For You, Jaron And The Long Road To Love,spotify:track:3HMMQkT3IMvMBbvxUNPpK3,2010
741,Whataya Want From Me, Adam Lambert,spotify:track:2rDwdvBma1O1eLzo29p2cr,2010
742,Waka Waka (This Time For Africa), Shakira Featuring Freshlyground,spotify:track:3F06IVF1UHDj79Pk6Jd2FH,2010
743,Over The Rainbow, Glee Cast,spotify:track:4ScByt6H4vaiTlXS8dNQOc,2010
744,Dynamite, Taio Cruz,spotify:track:1DqdF42leyFIzqNDv9CjId,2010
745,Bad Romance, Lady Gaga,spotify:track:5P5cGNzqh6A353N3ShDK6Y,2010
746,Eenie Meenie, Sean Kingston & Justin Bieber,spotify:track:7Ac7iWJMcTrCpW21U99cxP,2010
747,Somebody To Love, Justin Bieber Featuring Usher,N/A,2010
748,Water, Brad Paisley,spotify:track:5z1T8M153gyxX6IKJemYX7,2010
749,Miss Me, Drake Featuring Lil Wayne,spotify:track:4tJtUGzBylWGUjnD43taEW,2010
750,Rain Is A Good Thing, Luke Bryan,spotify:track:1YhFtqwcN138S6ng3MT1nN,2010
751,There Goes My Baby, Usher,spotify:track:6IUiqtI8tE49sqGbmtrNd8,2010
752,"Lover, Lover", Jerrod Niemann,spotify:track:5UzU0qw21okODBNUnxptVo,2010
753,Free, Zac Brown Band,spotify:track:4bWlAEbGHhPKQNjhTstN2p,2010
754,She Wont Be Lonely Long, Clay Walker,spotify:track:3GevD5JYoN7rQXPSaecExb,2010
755,Lose My Mind, Young Jeezy Featuring Plies,N/A,2010
756,Crazy Town, Jason Aldean,spotify:track:5eH1ktZDHgegpkYJOY7tme,2010
757,Any Way You Want It/Lovin Touchin Squeezin, Glee Cast,spotify:track:7cHROTw8JRjEaO3hDf1GZN,2010
758,Dont Stop Believin, Glee Cast,spotify:track:6rjnRocdCULjLF61x2NR5e,2010
759,Love Like Crazy, Lee Brice,spotify:track:6Ozp6ac86CSHMik8lbvJuM,2010
760,Hello Good Morning, Diddy - Dirty Money Featuring T.I.,N/A,2010
761,Gettin Over You, David Guetta & Chris Willis Featuring Fergie & LMFAO,N/A,2010
762,Got Your Back, T.I. Featuring Keri Hilson,spotify:track:4aBLg01wpcLagpqeei4rCB,2010
763,I Never Told You, Colbie Caillat,spotify:track:2rJWnAqSuLMls0KOv416Io,2010
764,Ride, Ciara Featuring Ludacris,N/A,2010
765,Bionic, Christina Aguilera,spotify:track:4artWewaXlYPhhir8SRRE0,2010
766,Beautiful Monster, Ne-Yo,spotify:track:2Q99zPXVqCPN5RaZawvJWZ,2010
767,Gimmie That Girl, Joe Nichols,spotify:track:4bT9arnOOeRLIn52sLjTIh,2010
768,The Man I Want To Be, Chris Young,spotify:track:5zMRkxgFscsPItPsMy4ItS,2010
769,Hey, Lil Jon Featuring 3OH!3,N/A,2010
770,Winner, Jamie Foxx Featuring Justin Timberlake & T .I.,N/A,2010
771,Sex Room, Ludacris Featuring Trey Songz,N/A,2010
772,Not Myself Tonight, Christina Aguilera,spotify:track:3WL6Ir05DLu10j7sSMkqQy,2010
773,Lil Freak, Usher Featuring Nicki Minaj,spotify:track:27pryAuWl4YHZwVjanCf7K,2010
774,To Sir With Love, Glee Cast,spotify:track:6T5C1e56lt5bpLPGFszX0l,2010
775,Teach Me How To Dougie, Cali Swag District,spotify:track:61LtVmmkGr8P9I2tSPvdpf,2010
776,Wrong Baby Wrong, Martina McBride,spotify:track:70oBJFMGCRTayEeatqXwNf,2010
777,Im Back, T.I.,spotify:track:4PI6v1YqlQOpJlum5FGEQk,2010
778,I Keep On Loving You, Reba,spotify:track:3e4ZaMM2t6Pv25W05KfZTP,2010
779,Pretty Good At Drinkin Beer, Billy Currington,N/A,2010
780,The Only Exception, Paramore,spotify:track:7JIuqL4ZqkpfGKQhYlrirs,2010
781,Im In, Keith Urban,spotify:track:0sAZEGLK6OU4VAWC9puWgh,2010
782,Shark In The Water, V V Brown,spotify:track:0BLPuaA32HDg6AJTUT4WMl,2010
783,Bohemian Rhapsody, Glee Cast Featuring Jonathan Groff,spotify:track:0tjeY2rdrKjUjtO5IwKusl,2010
784,Glitter In The Air, P!nk,spotify:track:4rkVLYy60O29XSgUmVsDso,2010
785,Neighbors Know My Name, Trey Songz,spotify:track:6jvvpPJQJy5rMOEkLlADl6,2010
786,Little White Church, Little Big Town,spotify:track:0f73zOCdBx6ZPdiBjwN1AP,2010
787,Half Of My Heart, John Mayer,spotify:track:7hR5toSPEgwFZ78jfHdANM,2010
788,Wavin Flag, K'Naan,spotify:track:0mBREiw4ppCXccM7rsk2RC,2010
789,If Its Love, Train,spotify:track:5v2IyRFbo4cEc2vZyGTAs0,2010
790,Hold You (Hold Yuh), Gyptian,spotify:track:0j55p8YRAPG8yajtNyjt6A,2010
791,"Beamer, Benz, Or Bentley", Lloyd Banks Featuring Juelz Santana,N/A,2010
792,Animal, Neon Trees,spotify:track:1fBl642IhJOE5U319Gy2Go,2010
793,Poker Face, Glee Cast,spotify:track:1rc7RzuBYQ9KZIntUyEAVb,2010
794,I Gotta Get To You, George Strait,spotify:track:7zcT7r7dn89agQvz2sk2iT,2010
795,Keep On Lovin You, Steel Magnolia,spotify:track:5mrpWeULubsdBHpQVcXLqB,2010
796,Everything To Me, Monica,spotify:track:4ZOkuIDN8wRczzu1XUYC4y,2010
797,Secrets, OneRepublic,spotify:track:1NhPKVLsHhFUHIOZ32QnS2,2010
798,Woohoo, Christina Aguilera Featuring Nicki Minaj,N/A,2010
799,Yeah Ya Know (Takers), T.I.,spotify:track:4JGypFKEHrlufSjF8DPl9X,2010
800,Boom Boom Pow, The Black Eyed Peas,spotify:track:7xRNsqOQOgWbHV1nbXnfXN,2009
801,I Know You Want Me (Calle Ocho), Pitbull,spotify:track:5RzFJd6W40SDTyZkX6xx45,2009
802,Knock You Down, Keri Hilson Featuring Kanye West & Ne-Yo,spotify:track:6DXlxBjG5Na4f4KI8a0y6F,2009
803,Birthday Sex, Jeremih,spotify:track:4NpDZPwSXmL0cCTaJuVrCw,2009
804,Poker Face, Lady Gaga,spotify:track:0WfKDYeUAoLA3vdvLKKWMW,2009
805,LoveGame, Lady Gaga,spotify:track:5c0Wgs68kjgViFCVDGLB2I,2009
806,Second Chance, Shinedown,spotify:track:0CwYG1UnRmOx8Q1EzElCIL,2009
807,Halo, Beyonce,spotify:track:4JehYebiI9JE8sR8MisGVb,2009
808,Fire Burning, Sean Kingston,spotify:track:2oENJa1T33GJ0w8dC167G4,2009
809,Blame It, Jamie Foxx Featuring T-Pain,N/A,2009
810,Day N Nite, Kid Cudi,spotify:track:5FEXPoPnzueFJQCPRIrC3c,2009
811,Waking Up In Vegas, Katy Perry,spotify:track:6fvxos1qSHrIgOkKw4dhWS,2009
812,The Climb, Miley Cyrus,spotify:track:0V8FYVlBFuXXTIvRnMbZyS,2009
813,Dont Trust Me, 3OH!3,spotify:track:5jzX4dWVQeBTtfBaXnMRt5,2009
814,Goodbye, Kristinia DeBarge,spotify:track:5myYDbAurm1CW038qd4gL2,2009
815,Out Last Night, Kenny Chesney,spotify:track:4QoZGQ8woaho94v629kVl1,2009
816,Sugar, Flo Rida Featuring Wynter,N/A,2009
817,Right Round, Flo Rida,spotify:track:3GpbwCm3YxiWDvy29Uo3vP,2009
818,Use Somebody, Kings Of Leon,spotify:track:5VGlqQANWDKJFl0MBG3sg2,2009
819,I Do Not Hook Up, Kelly Clarkson,spotify:track:2I5CPUnMIKjEXeg61OI9uV,2009
820,Please Dont Leave Me, P!nk,spotify:track:2tAtg37styBgPSHzKnJQYB,2009
821,Turn My Swag On, Soulja Boy Tell'em,N/A,2009
822,If Today Was Your Last Day, Nickelback,spotify:track:4QJLKU75Rg4558f4LbDBRi,2009
823,You Found Me, The Fray,spotify:track:4IoYz8XqqdowINzfRrFnhi,2009
824,Kiss Me Thru The Phone, Soulja Boy Tell 'em Featuring Sammie,N/A,2009
825,Love Story, Taylor Swift,spotify:track:1vrd6UOGamcKNGnSHJQlSt,2009
826,My Life Would Suck Without You, Kelly Clarkson,spotify:track:4Dm32oO01YpIubCHaAtKkN,2009
827,Gives You Hell, The All-American Rejects,spotify:track:6ihL9TjfRjadfEePzXXyVF,2009
828,Just Dance, Lady Gaga Featuring Colby O'Donis,N/A,2009
829,Whatever It Is, Zac Brown Band,spotify:track:4o8STNAL91xc7EvuvqSKk1,2009
830,Kiss A Girl, Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,2009
831,You Belong With Me, Taylor Swift,spotify:track:3GCL1PydwsLodcpv0Ll1ch,2009
832,Im Yours, Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,2009
833,Dead And Gone, T.I. Featuring Justin Timberlake,spotify:track:65Nz2WMP6wNR35b61UiXcf,2009
834,Then, Brad Paisley,spotify:track:3XKbdb9GB6u3hsnUklQTav,2009
835,Best I Ever Had, Drake,spotify:track:3fyMH1t6UPeR5croea9PrR,2009
836,If U Seek Amy, Britney Spears,spotify:track:2hdy9Wt9qp7M7d0U3ossu2,2009
837,I Run To You, Lady Antebellum,spotify:track:2YVCkTYJpv5jelYrHYoEG8,2009
838,Sideways, Dierks Bentley,spotify:track:19DnL1HnJiijuEfaiS0Eus,2009
839,Know Your Enemy, Green Day,spotify:track:5qtwzv99vOr5UTwnTixn7j,2009
840,All The Above, Maino Featuring T-Pain,N/A,2009
841,We Made You, Eminem,spotify:track:4UMTp91LHhvW33ol9ZQH0Q,2009
842,New Divide, Linkin Park,spotify:track:6Wx88Mv6b9ofjKMKkdwOJd,2009
843,Boyfriend #2, Pleasure P,spotify:track:3taIcgVjePRzkdz0ZmJbOi,2009
844,People Are Crazy, Billy Currington,N/A,2009
845,Funny The Way It Is, Dave Matthews Band,spotify:track:3kMgAxxblY0bHQc6piepWL,2009
846,"1, 2, 3, 4", Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,2009
847,Best Days Of Your Life, Kellie Pickler,spotify:track:27BMLvWD1TYdosiReVgbAt,2009
848,Every Girl, Young Money,spotify:track:7EPEvsYbssxXOmOqB8xWhL,2009
849,It Happens, Sugarland,spotify:track:1I66zFfRohnb8kwJV3vrV4,2009
850,No Surprise, Daughtry,spotify:track:6q4XLE5WeOBWftoc9gTl2P,2009
851,Her Diamonds, Rob Thomas,spotify:track:3LtwmK1OfN0dGs9jf3qSjn,2009
852,Halle Berry (Shes Fine), Hurricane Chris Featuring SupaSTAAR,N/A,2009
853,One In Every Crowd, Montgomery Gentry,spotify:track:6HAsk04nz2TaEbK8lncN3w,2009
854,How Do You Sleep?, Jesse McCartney Featuring Ludacris,spotify:track:3jkdQNkDTxxXtjSO4l0o1H,2009
855,Im On A Boat, The Lonely Island Featuring T-Pain,spotify:track:7wwhDmpjiy1rzJ3zWy5zur,2009
856,Echo, Gorilla Zoe,spotify:track:7ytLGF9Ua5g5MylbwtxzZC,2009
857,Alright, Darius Rucker,spotify:track:5JlH51YDYsGj2dyEJKKjcN,2009
858,Not Meant To Be, Theory Of A Deadman,spotify:track:5xyACR2lzIyzFepF4qlAas,2009
859,Welcome To The World, Kevin Rudolf Featuring Rick Ross,N/A,2009
860,Sissys Song, Alan Jackson,spotify:track:68qJGt0E1gB4MaQOZcGGK5,2009
861,Summer Nights, Rascal Flatts,spotify:track:27rSEMh30XdxOgQX7AKSaM,2009
862,Swag Surfin, F.L.Y. (Fast Life Yungstaz),spotify:track:5ItzU5pBrFmRUudfr5RkJP,2009
863,Where Im From, Jason Michael Carroll,spotify:track:0VeI4Zyirc6yuJ4P7fudjE,2009
864,Battlefield, Jordin Sparks,spotify:track:1Nme6K1PYAh7p7uygyuRdf,2009
865,Careless Whisper, Seether,spotify:track:6I5gEJ0E33DgbtBUFHgD6n,2009
866,Show Me What Im Looking For, Carolina Liar,spotify:track:2h8iXIwEdEnQywhFC4q5e5,2009
867,Always Strapped, Birdman Featuring Lil Wayne,N/A,2009
868,Paranoid, Jonas Brothers,spotify:track:47Kfrm6G2wZUAPhiDTyado,2009
869,Hey, Mitchel Musso,spotify:track:7zKObGlclVsHMwOG0Q3wYO,2009
870,Pretty Wings, Maxwell,spotify:track:22NLm3IIR9NLG0cUYtmHMW,2009
871,Wetter (Calling You Daddy), Twista Featuring Erika Shevon,N/A,2009
872,Come Back To Me, David Cook,spotify:track:55r33uTqnLglVMHb1qeWOd,2009
873,Boots On, Randy Houser,spotify:track:7K4VxvIXXbDbaVn6ARbch1,2009
874,I Need A Girl, Trey Songz,spotify:track:5cU50IAoAFF7qFWOtdbEjr,2009
875,Wild At Heart, Gloriana,spotify:track:0As5NstLxpNgAowtusWsnb,2009
876,Ego, Beyonce,spotify:track:6GcuA4J9ruyClBizBd4m5E,2009
877,No Boundaries, Kris Allen,spotify:track:4K5LLD1QqDCYfCfe7MjAsG,2009
878,Lost You Anyway, Toby Keith,spotify:track:21I6cqNPNd9Pnoe1netnfB,2009
879,Strange, Reba,spotify:track:3lZ2BjqnF3MhSIqRnEnahr,2009
880,Ice Cream Paint Job, Dorrough,spotify:track:3lwMGZ9M5Gq4usaZZLV4NK,2009
881,Dont Stop Believin, Glee Cast,spotify:track:6rjnRocdCULjLF61x2NR5e,2009
882,Its America, Rodney Atkins,spotify:track:5zGqTc1WQUe8XqqdnrpKTV,2009
883,Heartless, Kris Allen,spotify:track:4gwDrsXJPXfCAYFbpUjeCW,2009
884,Beggin, Madcon,N/A,2009
885,Here Comes Goodbye, Rascal Flatts,spotify:track:5YSW99IUAIiAj243jF7PBO,2009
886,I Told You So, Carrie Underwood Featuring Randy Travis,N/A,2009
887,Small Town USA, Justin Moore,spotify:track:5pyB5WEAEwqwl18UaBLeBl,2009
888,sobeautiful, Musiq Soulchild,spotify:track:2PN3gbuBn5WBEwrEJH3xiu,2009
889,I Love College, Asher Roth,spotify:track:1akgiRM3mN2nxu2AX6ACCW,2009
890,Good Girls Go Bad, Cobra Starship Featuring Leighton Meester,N/A,2009
891,Aint No Rest For The Wicked, Cage The Elephant,spotify:track:3kb72STxc2959ZqsTwu52i,2009
892,Walkin On The Moon, The-Dream Featuring Kanye West,N/A,2009
893,Throw It In The Bag, Fabolous Featuring The-Dream,N/A,2009
894,Last Chance, Ginuwine,spotify:track:7y7mVu1ixwu9TzlVv7ovDw,2009
895,Hoedown Throwdown, Miley Cyrus,spotify:track:6ntkwU1MhehTKgx4BWxX3f,2009
896,Aint I, Yung L.A. Featuring Young Dro & T.I.,N/A,2009
897,On The Ocean, K'Jon,spotify:track:5tRna9FSqMrh2LJwqIykHA,2009
898,Take Me On The Floor, The Veronicas,spotify:track:7MFvqBJ3ozTwDrf5VfoW8U,2009
899,Mad World, Adam Lambert,spotify:track:4n8Syhm2XQOvenU8SnVAhZ,2009
900,Lollipop, Lil Wayne Featuring Static Major,N/A,2008
901,Viva La Vida, Coldplay,spotify:track:1mea3bSkSGXuIRvnydlB5b,2008
902,Bleeding Love, Leona Lewis,spotify:track:7wZUrN8oemZfsEd1CGkbXE,2008
903,I Kissed A Girl, Katy Perry,spotify:track:005lwxGU1tms6HGELIcUv9,2008
904,Take A Bow, Rihanna,spotify:track:3goSVuTt3fDYDP6kRnFwuL,2008
905,Love In This Club, Usher Featuring Young Jeezy,N/A,2008
906,No Air, Jordin Sparks Duet With Chris Brown,spotify:track:05cDiyB11m5M25cDsJYEMS,2008
907,Sexy Can I, Ray J & Yung Berg,spotify:track:2ZWv2xmDnKaY5G3eKjqPdr,2008
908,Pocketful Of Sunshine, Natasha Bedingfield,spotify:track:1uigwk5hNV84zRd5YQQRTk,2008
909,4 Minutes, Madonna Featuring Justin Timberlake & Timbaland,spotify:track:7dnTjdg0bKdEeY79ARjsKJ,2008
910,Forever, Chris Brown,spotify:track:7tAXHZdp9UpcYrHn7MZqfo,2008
911,Bust It Baby Part 2, Plies Featuring Ne-Yo,spotify:track:6rFnWGbLq3TBLonOz3NGYm,2008
912,Damaged, Danity Kane,spotify:track:4yHFxB8kzzeuNvoouR8N0N,2008
913,Shake It, Metro Station,spotify:track:5619Ojc6t9evEEs3B7Drhe,2008
914,What You Got, Colby O'Donis Featuring Akon,N/A,2008
915,Leavin, Jesse McCartney,spotify:track:20ORwCJusz4KS2PbTPVNKo,2008
916,Its Not My Time, 3 Doors Down,spotify:track:0uybt73QFXaLCoxuVf6fhm,2008
917,Love Song, Sara Bareilles,spotify:track:4E6cwWJWZw2zWf7VFbH7wf,2008
918,Bye Bye, Mariah Carey,spotify:track:4n40hvXBCDQba3DO5BOm6P,2008
919,The Time Of My Life, David Cook,spotify:track:6avyV3xlz2UFeiAUZ0SqyT,2008
920,Got Money, Lil Wayne Featuring T-Pain,spotify:track:1C3cGxMyvjyhsi5w0N93Wp,2008
921,Touch My Body, Mariah Carey,spotify:track:2H1l4JczUDbiWfQtQElB05,2008
922,Last Name, Carrie Underwood,spotify:track:1ePtWetZ9PTQhQHjm7I3oQ,2008
923,Realize, Colbie Caillat,spotify:track:5OGkKx8jP0A5KSULEc6XYZ,2008
924,Low, Flo Rida Featuring T-Pain,spotify:track:6jROpNmyKw7qsazdsElSZl,2008
925,I Luv Your Girl, The-Dream,spotify:track:3wkNK8tJZ2stygNJm8RCRD,2008
926,Love In This Club Part II, Usher Featuring Beyonce & Lil Wayne,N/A,2008
927,Stop And Stare, OneRepublic,spotify:track:48s0QHJgmiNsth3WEO6U4M,2008
928,A Milli, Lil Wayne,spotify:track:6ScJMrlpiLfZUGtWp4QIVt,2008
929,Say, John Mayer,spotify:track:6wZI4mdT8JwXgkGURnBQiq,2008
930,When I Grow Up, The Pussycat Dolls,spotify:track:0dQQWHlXvuw4UyHcAvhfhB,2008
931,In Love With A Girl, Gavin DeGraw,spotify:track:3zcmWxxUA7Em7X3IBqZGUo,2008
932,Heaven Sent, Keyshia Cole,spotify:track:2E90KUsor4U2abOJGFKtfx,2008
933,Apologize, Timbaland Featuring OneRepublic,N/A,2008
934,With You, Chris Brown,spotify:track:1j3H54xdahpAkNI0q6S89q,2008
935,Put On, Young Jeezy Featuring Kanye West,N/A,2008
936,Get Silly, V.I.C.,spotify:track:6ewmZ7vUOjitwsg4yJ6xhX,2008
937,Closer, Ne-Yo,spotify:track:2XbfY2O2v3xwedUJ0J2kkr,2008
938,Mercy, Duffy,spotify:track:78twQ5XCFJMTE37ZSU0gsj,2008
939,The Boss, Rick Ross Featuring T-Pain,N/A,2008
940,Dangerous, Kardinal Offishall Featuring Akon,spotify:track:7mUgLaptG54TljcAxMPEHN,2008
941,Dont Stop The Music, Rihanna,spotify:track:0ByMNEPAPpOR5H69DVrTNy,2008
942,All Around Me, Flyleaf,spotify:track:7k9iVpyeR5ybSPSkvmAP6K,2008
943,Take You Down, Chris Brown,spotify:track:3XJpQ65m90QFmogv8MH1pG,2008
944,Im Still A Guy, Brad Paisley,spotify:track:10K3cLNxSH5XLs9X951hLR,2008
945,The Way That I Love You, Ashanti,spotify:track:7LFcepuZqkpghbKnslItnx,2008
946,She Got It, 2 Pistols Featuring T-Pain & Tay Dizm,N/A,2008
947,See You Again, Miley Cyrus,spotify:track:0G71WvIkF2K6HViJeFvOcM,2008
948,Get Like Me, David Banner Featuring Chris Brown,N/A,2008
949,Lolli Lolli (Pop That Body)," Three 6 Mafia Featuring Project Pat, Young D & Superpower",N/A,2008
950,Feels Like Tonight, Daughtry,spotify:track:2tVCFmn2zKg2wGXS1TCIIA,2008
951,American Boy, Estelle Featuring Kanye West,spotify:track:1itWBjXGOwGWa3ui8jVK2y,2008
952,Better As A Memory, Kenny Chesney,N/A,2008
953,Handlebars, Flobots,spotify:track:6JH9yWhgbm0y9iAJhCslNc,2008
954,Youre Gonna Miss This, Trace Adkins,spotify:track:68Q1r5zDnnYaHkh80yal4A,2008
955,Every Day, Rascal Flatts,spotify:track:50MHFGCJITQy3LhZam6Mm6,2008
956,Just Got Started Lovin You, James Otto,spotify:track:4b0XF7CDpJEBAdVHMw7amV,2008
957,Home, Blake Shelton,spotify:track:3oTC5qoKq6nvz4Jj0DgCzF,2008
958,Violet Hill, Coldplay,spotify:track:1ZqHjApl3pfzwjweTfMi0g,2008
959,If I Never See Your Face Again, Maroon 5 Featuring Rihanna,spotify:track:2p4LtUyn905XOPPqSbHEbP,2008
960,Break The Ice, Britney Spears,spotify:track:52K4Nl7eVNqUpUeJeWJlwT,2008
961,Teenage Love Affair, Alicia Keys,spotify:track:6lQMz8E5JIB0gePDWxHwam,2008
962,Summertime, New Kids On The Block,spotify:track:6WZ7g8fpIXkf1ySWn3GA5O,2008
963,Pork And Beans, Weezer,spotify:track:7wclPheMJAUKn2njmO2s3A,2008
964,Love Dont Live Here, Lady Antebellum,spotify:track:16vNQhg2y5RDkkNaQExLTL,2008
965,Im Yours, Jason Mraz,spotify:track:1EzrEOXmMH3G43AXT1y7pA,2008
966,Good Time, Alan Jackson,spotify:track:6lyKOW0FNW6aAZdKVgoM8m,2008
967,Gunpowder And Lead, Miranda Lambert,spotify:track:5kBIUfmJDDwT1WlFgOAJe9,2008
968,Back When I Knew It All, Montgomery Gentry,spotify:track:6U7hJoo1kiTZI69cEF8uCD,2008
969,Theres Nothin, Sean Kingston Featuring Elan & Juelz Santana,N/A,2008
970,Homecoming, Kanye West Featuring Chris Martin,spotify:track:2agntpdr7odwLrNxcKJN35,2008
971,Indestructible, Disturbed,spotify:track:42ZVk59gT4tMlrZmd8Ijxf,2008
972,I Saw God Today, George Strait,spotify:track:7maV3I3KQNYpsOWYTOhGqn,2008
973,Picture To Burn, Taylor Swift,spotify:track:32mVHdy0bi1XKgr0ajsBlG,2008
974,Shouldve Said No, Taylor Swift,spotify:track:16MVSD0mGI4RMQT83Qzm69,2008
975,Love Remains The Same, Gavin Rossdale,spotify:track:4dOXc4Suk5eig0jiCqCN5Y,2008
976,Shes A Hottie, Toby Keith,spotify:track:5SD2dutv5rJM4Q8hlnC2QK,2008
977,Trying To Stop Your Leaving, Dierks Bentley,spotify:track:7zOtXBS23pOhmef9hv6CKk,2008
978,Girls Around The World, Lloyd Featuring Lil Wayne,N/A,2008
979,Love Is A Beautiful Thing, Phil Vassar,spotify:track:3XOFkS6Fvi3IqBTq4i73Xa,2008
980,You Aint Got Nuthin, Lil Wayne Featuring Juelz Santana & Fabolous,N/A,2008
981,Moving Mountains, Usher,spotify:track:0Z4DAkZzXkupqCtT7BGU5F,2008
982,Last Time, Trey Songz,spotify:track:6UBqk9rh6e2Rj7LLzDjn6R,2008
983,7 Things, Miley Cyrus,spotify:track:5ecZWU5uQOiCVSnPxBZNmT,2008
984,Games Pain, The Game Featuring Keyshia Cole,N/A,2008
985,Lookin Boy, Hot Stylz Featuring Yung Joc,N/A,2008
986,Te Quiero, Flex,spotify:track:1Z4IqxukC6Yuer0nK7rC2R,2008
987,Put A Girl In It, Brooks & Dunn,spotify:track:2whdkf4NsAloiUJ9ISRVDM,2008
988,I Will Possess Your Heart, Death Cab For Cutie,spotify:track:77vYwoC7e3pVoPq8BA9CuL,2008
989,Move Shake Drop, DJ Laz Featuring Flo Rida & Casely,N/A,2008
990,Rise Above This, Seether,spotify:track:6nallRvLIcqax2AZTbc48y,2008
991,Mr. Carter, Lil Wayne Featuring Jay-Z,N/A,2008
992,Inside The Fire, Disturbed,spotify:track:5cxp9kjCFyJwzv3lzeX7ku,2008
993,That Song In My Head, Julianne Hough,spotify:track:28iutfEP6JEXbHHqub8GzB,2008
994,New Soul, Yael Naim,spotify:track:476JcJ3TpAuCOlGdCmomGm,2008
995,Another Try, Josh Turner Featuring Trisha Yearwood,spotify:track:4p1MJDNMPI4gzVKtao61Wk,2008
996,Nine In The Afternoon, Panic! At The Disco,spotify:track:1S30kHvkkdMkcuCTGSgS41,2008
997,Buzzin, Shwayze Featuring Cisco Adler,N/A,2008
998,Thats What You Get, Paramore,spotify:track:1JdKrFyoU05abww0Zv0ayQ,2008
999,Customer, Raheem DeVaughn,spotify:track:7vPtkrQdS0ZV0zX7qKHahN,2008
1000,Umbrella, Rihanna Featuring Jay-Z,N/A,2007
1001,Party Like A Rockstar, Shop Boyz,spotify:track:5kGCh49aqeRMkEOhQ9mcrW,2007
1002,Buy U A Drank (Shawty Snappin), T-Pain Featuring Yung Joc,N/A,2007
1003,Big Girls Dont Cry, Fergie,spotify:track:3Q4WeJmzxuDpzMu9QjQqbM,2007
1004,Makes Me Wonder, Maroon 5,spotify:track:1lHXlGlve5Zx8tXLhyjDwM,2007
1005,Hey There Delilah, Plain White T's,spotify:track:4RCWB3V8V0dignt99LZ8vH,2007
1006,Girlfriend, Avril Lavigne,spotify:track:5HbCnVLXRyZVxnreOPgJCK,2007
1007,Summer Love, Justin Timberlake,spotify:track:4IFmjJ4fEuLjTcR7GOtipi,2007
1008,"Pop, Lock & Drop It", Huey,spotify:track:6vs9xToxh23nXF8sucqnfP,2007
1009,Rehab, Amy Winehouse,spotify:track:1L5tZi0izXsi5Kk5OJf4W0,2007
1010,Home, Daughtry,spotify:track:2nXWKf0GXbFby4posGqEht,2007
1011,Lip Gloss, Lil Mama,spotify:track:1Y4ZdPOOgCUhBcKZOrUFiS,2007
1012,Before He Cheats, Carrie Underwood,spotify:track:0ZUo4YjG4saFnEJhdWp9Bt,2007
1013,Thnks Fr Th Mmrs, Fall Out Boy,spotify:track:3Zwu2K0Qa5sT6teCCHPShP,2007
1014,U + Ur Hand, P!nk,spotify:track:6cSQSGa2tFufkTdlKs2TKN,2007
1015,I Tried, Bone Thugs-N-Harmony Featuring Akon,N/A,2007
1016,Never Again, Kelly Clarkson,spotify:track:24y3tSyLdRbpVsKhQrR2oj,2007
1017,Give It To Me, Timbaland Featuring Nelly Furtado & Justin Timberlake,spotify:track:4lJtc7En79kre04SxonXZy,2007
1018,Get It Shawty, Lloyd,spotify:track:2a03afRiyAbNAleOByVju4,2007
1019,The Sweet Escape, Gwen Stefani Featuring Akon,spotify:track:6L2tdej6mNcAHasvWyBSTZ,2007
1020,Glamorous, Fergie Featuring Ludacris,N/A,2007
1021,Bartender, T-Pain Featuring Akon,N/A,2007
1022,What Ive Done, Linkin Park,spotify:track:18lR4BzEs7e3qzc0KVkTpU,2007
1023,2 Step, Unk,spotify:track:34vVztCAeKpPtzYfGHQjiV,2007
