,Summer Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
46,Scars To Your Beautiful, Alessia Cara,spotify:track:0prNGof3XqfTvNDxHonvdK,2017,0.591,0.741,0.0294,0.452,97.048,0
47,The Fighter, Keith Urban Featuring Carrie Underwood,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
48,Rockabye, Clean Bandit Featuring Sean Paul & Anne-Marie,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
49,"God, Your Mama, And Me", Florida Georgia Line Featuring Backstreet Boys,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
50,Strip That Down, Liam Payne Featuring Quavo,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
51,Craving You, Thomas Rhett Featuring Maren Morris,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
52,To The Max, DJ Khaled Featuring Drake,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
53,If I Told You, Darius Rucker,spotify:track:4Az17HfqonKSWNsaLgTBeK,2017,0.532,0.64,0.344,0.308,84.029,0
54,Look At Me!, XXXTENTACION,spotify:track:7floNISpH8VF4z4459Qo18,2017,0.763,0.726,0.259,0.349,139.059,0
55,Crying In The Club, Camila Cabello,spotify:track:1SJtlNRJDeYHioymcvsqev,2017,0.334,0.617,0.334,0.603,85.227,0
56,Love., Kendrick Lamar Featuring Zacari,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
57,Cold, Maroon 5 Featuring Future,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
58,First Day Out, Tee Grizzley,spotify:track:3muBQDekYAg7jm6hDu6R0Z,2017,0.587,0.711,0.171,0.381,98.008,0
59,How Not To, Dan + Shay,spotify:track:4n0xztUAbHPUV8G3NQvF30,2017,0.501,0.836,0.208,0.618,159.863,0
60,My Girl, Dylan Scott,spotify:track:3izNaTiYdotdPL0Bs76JqO,2017,0.652,0.719,0.0353,0.24,94.969,0
61,Everyday We Lit, YFN Lucci Featuring PnB Rock,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
62,Every Time I Hear That Song, Blake Shelton,spotify:track:0c4ICGb0jvszKj3KPR59JU,2017,0.523,0.725,0.0558,0.528,155.855,6.96e-06
63,Portland, Drake Featuring Quavo & Travis Scott,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
64,1-800-273-8255, Logic Featuring Alessia Cara & Khalid,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
65,You Look Good, Lady Antebellum,spotify:track:1dFLowBW25EaL2OC7eKEa2,2017,0.653,0.911,0.0338,0.942,152.043,0.000659
66,Heavy, Linkin Park Featuring Kiiara,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
67,Privacy, Chris Brown,spotify:track:2Vf2Pflg5rTWSvSCK4qq4A,2017,0.741,0.58,0.153,0.428,97.092,0
68,Drinkin Problem, Midland,spotify:track:1vBpwxsLVwaR4evBIaFmqD,2017,0.628,0.761,0.0538,0.64,102.019,3.74e-06
69,Felices Los 4, Maluma,spotify:track:0qYTZCo5Bwh1nsUFGZP3zn,2017,0.755,0.789,0.231,0.737,93.973,0
70,Black, Dierks Bentley,spotify:track:2lFtnEmkIPm2ClN55e2chV,2017,0.663,0.656,0.27,0.56,120.037,0.000279
71,Flatliner, Cole Swindell,spotify:track:0WyFpxYlBCgH1gMXd26OOr,2017,0.555,0.896,0.00434,0.578,114.995,0
72,4 AM, 2 Chainz Featuring Travis Scott,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
73,Loyalty., Kendrick Lamar Featuring Rihanna,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
74,Losin Control, Russ,spotify:track:4cxMGhkinTocPSVVKWIw0d,2017,0.759,0.245,0.515,0.209,96.992,0.000154
75,Yours If You Want It, Rascal Flatts,spotify:track:4D4xJ4LyDXBWIf9thFSMAJ,2017,0.548,0.909,0.00926,0.413,113.067,0
76,No Promises, Cheat Codes Featuring Demi Lovato,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
77,No Such Thing As A Broken Heart, Old Dominion,spotify:track:0OlS52TmtK2gPaEtdmr7DN,2017,0.65,0.782,0.295,0.944,171.988,0
78,Weak, AJR,spotify:track:45iMRHmfLZu3yjdZ8P5e3t,2017,0.672,0.642,0.127,0.656,123.984,0
79,Wokeuplikethis*, Playboi Carti Featuring Lil Uzi Vert,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
80,Thunder, Imagine Dragons,spotify:track:7BrsBU0BAytRDvROM4yCbn,2017,0.601,0.809,0.00763,0.249,167.96,0.0757
81,Whatever You Need, Meek Mill Featuring Chris Brown & Ty Dolla $ign,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
82,Swish Swish, Katy Perry Featuring Nicki Minaj,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
83,Good Drank, 2 Chainz x Gucci Mane x Quavo,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
84,Small Town Boy, Dustin Lynch,spotify:track:2YMhrXQYKkm4kXLcXKKd5z,2017,0.554,0.743,0.0251,0.673,72.997,0
85,Most Girls, Hailee Steinfeld,spotify:track:10GJQkjRJcZhGTLagFOC62,2017,0.76,0.588,0.0485,0.384,102.974,0
86,Know No Better," Major Lazer Featuring Travis Scott, Camila Cabello & Quavo",N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
87,Do Re Mi, Blackbear,spotify:track:3Q3myFA7q4Op95DOpHplaY,2017,0.742,0.599,0.00419,0.154,110.977,1.02e-05
88,Peek A Boo, Lil Yachty Featuring Migos,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
89,Hometown Girl, Josh Turner,spotify:track:5C6uh95eAL0RBTSGXKQwvk,2017,0.505,0.79,0.263,0.445,155.934,0.0884
90,Gyalchester, Drake,spotify:track:6UjfByV1lDLW0SOVQA4NAi,2017,0.872,0.389,0.0343,0.156,131.012,0.000679
91,Met Gala, Gucci Mane Featuring Offset,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
92,Butterfly Effect, Travis Scott,spotify:track:1yxgsra98r3qAtxqiGZPiX,2017,0.763,0.598,0.0714,0.182,140.987,0
93,Its Everyday Bro, Jake Paul Featuring Team 10,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
94,Scared To Be Lonely, Martin Garrix & Dua Lipa,spotify:track:3ebXMykcMXOcLeJ9xZ17XH,2017,0.584,0.54,0.0895,0.195,137.972,0
95,Subeme La Radio," Enrique Iglesias Featuring Descemer Bueno, Zion & Lennox Or Sean Paul",N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
96,Somebody Else Will, Justin Moore,spotify:track:3n2A6l4UayVe3GGKCvfQWV,2017,0.478,0.757,0.0346,0.623,180.077,0
97,Bon Appetit, Katy Perry Featuring Migos,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
98,Nobody Else But You, Trey Songz,spotify:track:1HOUzEsetdIPSpAgRPhZQt,2017,0.708,0.612,0.0381,0.263,139.913,0
99,Human, Rag'n'Bone Man,spotify:track:58zsLZPvfflaiIbNWoA22O,2017,0.602,0.707,0.393,0.554,75.09,0
100,One Dance, Drake Featuring WizKid & Kyla,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
101,Panda, Desiigner,spotify:track:275a9yzwGB6ncAW4SxY7q3,2016,0.72,0.748,0.0235,0.246,145.22,0
102,Cant Stop The Feeling!, Justin Timberlake,spotify:track:1WkMMavIMc4JZ8cfMmxHkI,2016,0.669,0.832,0.0106,0.7,113.035,0
103,Dont Let Me Down, The Chainsmokers Featuring Daya,spotify:track:3lnJwpPHQbtoWGzqRWzmzJ,2016,0.654,0.769,0.0696,0.578,160.082,0.00244
104,Work From Home, Fifth Harmony Featuring Ty Dolla $ign,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
105,7 Years, Lukas Graham,spotify:track:5kqIPrATaCc2LqxVWzQGbk,2016,0.765,0.473,0.287,0.34,119.992,0
106,This Is What You Came For, Calvin Harris Featuring Rihanna,spotify:track:31XvIIkAoO5PDongqRuyWX,2016,0.718,0.933,0.00423,0.156,124.026,0.838
107,I Took A Pill In Ibiza, Mike Posner,spotify:track:1MtUq6Wp1eQ8PC6BbPCj8P,2016,0.665,0.725,0.034,0.703,101.96,9.17e-06
108,Needed Me, Rihanna,spotify:track:1Tt4sE4pXi57mTD1GCzsqm,2016,0.688,0.325,0.107,0.275,110.888,0
109,Just Like Fire, P!nk,spotify:track:7K5dzhGda2vRTaAWYI3hrb,2016,0.632,0.701,0.0114,0.497,162.958,0
110,Dont Mind, Kent Jones,spotify:track:27PmvZoffODNFW2p7ehZTQ,2016,0.464,0.771,0.0235,0.69,158.777,0
111,Work, Rihanna Featuring Drake,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
112,Cheap Thrills, Sia Featuring Sean Paul,spotify:track:3jJ87Vmc2crgFweesjENrq,2016,0.684,0.594,0.00102,0.578,179.98,0.927
113,Dangerous Woman, Ariana Grande,spotify:track:7l94dyN2hX9c6wWcZQuOGJ,2016,0.672,0.605,0.0499,0.297,134.015,0
114,Ride, twenty one pilots,spotify:track:2Z8WuEywRWYTKe1NybPQEW,2016,0.645,0.713,0.00835,0.566,74.989,0
115,Never Forget You, Zara Larsson & MNEK,spotify:track:0JX9TlDKzrUc8FPAeJUH4N,2016,0.731,0.423,0.00685,0.0784,146.018,0.84
116,H.O.L.Y., Florida Georgia Line,spotify:track:0BCy325UZyR9z0t0uxwn2N,2016,0.525,0.685,0.385,0.54,78.003,0
117,For Free, DJ Khaled Featuring Drake,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
118,Love Yourself, Justin Bieber,spotify:track:50kpGaPAhYJ3sGmk6vplg0,2016,0.607,0.376,0.856,0.545,102.541,0
119,Pillowtalk, Zayn,spotify:track:0PDUDa38GO8lMxLCRc4lL1,2016,0.584,0.7,0.117,0.438,124.944,0
120,Stressed Out, twenty one pilots,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,2016,0.734,0.637,0.0462,0.648,169.977,2.29e-05
121,Cake By The Ocean, DNCE,spotify:track:76hfruVvmfQbw0eYn1nmeC,2016,0.774,0.765,0.156,0.917,119.001,0
122,My House, Flo Rida,spotify:track:6Knv6wdA0luoMUuuoYi2i1,2016,0.688,0.702,0.0215,0.74,94.006,0
123,Controlla, Drake,spotify:track:4CpKEkdGbOJV51cSvx7SoG,2016,0.747,0.477,0.0962,0.321,93.44,0
124,Lost Boy, Ruth B,spotify:track:4h0zU3O9R5xzuTmNO7dNDU,2016,0.71,0.0565,0.965,0.348,123.994,0
125,Low Life, Future Featuring The Weeknd,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
126,Close, Nick Jonas Featuring Tove Lo,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
127,Send My Love (To Your New Lover), Adele,spotify:track:4BHzQ9C00ceJxfG16AlNWb,2016,0.69,0.524,0.0415,0.562,164.023,3.16e-06
128,All The Way Up," Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
129,"Me, Myself & I", G-Eazy x Bebe Rexha,spotify:track:6tsA1Pr7JTqXKmnSIrYfNI,2016,0.819,0.543,0.0667,0.245,112.107,2.31e-05
130,Me Too, Meghan Trainor,spotify:track:3KwwE4sgCzMaKWq6QBebmX,2016,0.934,0.694,0.0962,0.835,123.829,1.2e-06
131,Let It Go, James Bay,spotify:track:13HVjjWUZFaWilh2QUJKsP,2016,0.568,0.293,0.804,0.247,147.175,1.26e-05
132,Too Good, Drake Featuring Rihanna,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
133,Treat You Better, Shawn Mendes,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,2016,0.672,0.81,0.118,0.771,82.888,0
134,Oui, Jeremih,spotify:track:0PJIbOdMs3bd5AT8liULMQ,2016,0.715,0.703,0.192,0.596,119.749,0
135,Sorry, Justin Bieber,spotify:track:09CtPGIpYB4BrO8qb1RGsF,2016,0.605,0.768,0.0865,0.414,100.209,0
136,Cut It, O.T. Genasis Featuring Young Dolph,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
137,Exchange, Bryson Tiller,spotify:track:43PuMrRfbyyuz4QpZ3oAwN,2016,0.53,0.433,0.108,0.274,160.14,0
138,2 Phones, Kevin Gates,spotify:track:0wdKiSBUT7aZkXUIdJWcwC,2016,0.895,0.681,0.157,0.554,121.918,0
139,Humble And Kind, Tim McGraw,spotify:track:3Rkk851fZjIsglV2jbBPDd,2016,0.349,0.486,0.693,0.158,101.053,1.73e-06
140,Sorry, Beyonce,spotify:track:4k8Kq3yLE7I7umYfN08YCU,2016,0.536,0.11,0.942,0.169,129.935,0.00106
141,Pop Style, Drake Featuring The Throne,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
142,"Huntin, Fishin & Lovin Every Day", Luke Bryan,spotify:track:0dbzWSYpMcRtwjI1S7Pkql,2016,0.546,0.805,0.125,0.387,77.029,9.27e-06
143,Wicked, Future,spotify:track:6BbINUfGabVyiNFJpQXn3x,2016,0.718,0.679,0.00191,0.205,157.97,0.0104
144,T-Shirt, Thomas Rhett,spotify:track:1zWZvrk13cL8Sl3VLeG57F,2016,0.647,0.857,0.0318,0.771,95.996,0
145,Never Be Like You, Flume Featuring Kai,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
146,Into You, Ariana Grande,spotify:track:2meEiZKWkiN28gITzFwQo5,2016,0.636,0.728,0.0153,0.384,107.986,1.46e-06
147,Unsteady, X Ambassadors,spotify:track:7lGKEWMXVWWTt3X71Bv44I,2016,0.598,0.673,0.177,0.255,117.02,0.000316
148,Middle, DJ Snake Featuring Bipolar Sunshine,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
149,No, Meghan Trainor,spotify:track:7fCNUWi6uflDTQ08srxMZk,2016,0.827,0.658,0.0224,0.523,115.016,0
150,Wild Things, Alessia Cara,spotify:track:2ZyuwVvV6Z3XJaXIFbspeE,2016,0.741,0.627,0.0183,0.708,108.016,0
151,Kill Em With Kindness, Selena Gomez,spotify:track:1QNoKVgA758HFLu3TW2q7R,2016,0.749,0.881,0.00755,0.337,120.034,7.81e-05
152,Really Really, Kevin Gates,spotify:track:10I3CmmwT0BkOVhduDy53o,2016,0.762,0.666,0.00427,0.278,118.97,0
153,Came Here To Forget, Blake Shelton,spotify:track:1N7qGCKRRnvjoy8MGyHgpS,2016,0.613,0.667,0.356,0.481,130.023,1.29e-05
154,Uber Everywhere, MadeinTYO,spotify:track:7zBPzAjKAqQpcv8F8GCq5s,2016,0.779,0.455,0.0542,0.197,140.181,0
155,My Church, Maren Morris,spotify:track:1LM5zQv5pBKPyO7rm7Uz6U,2016,0.517,0.743,0.243,0.664,76.979,3.36e-06
156,Somewhere On A Beach, Dierks Bentley,spotify:track:5CG9Ps5ynNjpKJHmwc95pa,2016,0.573,0.635,0.000598,0.447,144.031,0
157,Church Bells, Carrie Underwood,spotify:track:67citk3uzWs5qbaIVKTeg8,2016,0.575,0.844,0.226,0.542,87.007,0
158,From The Ground Up, Dan + Shay,spotify:track:0AdjJ2SaOeb5bPJ67nDbsW,2016,0.524,0.586,0.356,0.285,101.214,0
159,Lights Come On, Jason Aldean,spotify:track:4llYMkhHa1w7UAdDFRQcEZ,2016,0.567,0.839,0.0489,0.903,160.062,0
160,I Hate U I Love U, gnash Featuring Olivia O'Brien,spotify:track:7tiFDrsiqKOHoQRfhfuuUt,2016,0.523,0.0477,0.228,0.354,183.926,0.902
161,Wasted Time, Keith Urban,spotify:track:13wYXGimJ5fANFu0y2pqG1,2016,0.626,0.831,0.0628,0.304,100.009,0
162,Wake Up, Fetty Wap,spotify:track:6BOtDFg6GJm0rPUDuNmx57,2016,0.647,0.673,0.172,0.527,179.971,0
163,Messin Around, Pitbull Featuring Enrique Iglesias,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
164,Body, Dreezy Featuring Jeremih,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
165,The Sound Of Silence, Disturbed,spotify:track:1Cj2vqUwlJVG27gJrun92y,2016,0.322,0.28,0.468,0.175,85.794,1.1e-06
166,Head Over Boots, Jon Pardi,spotify:track:4ly1QBXEwYoDmje9rmEgC4,2016,0.557,0.676,0.0661,0.678,108.016,0
167,Record Year, Eric Church,spotify:track:5fSPbm5lcwtqwXkeQQswW8,2016,0.585,0.655,0.178,0.574,159.96,0
168,Hype, Drake,spotify:track:5NFYuqu8V6QXc6mzcLImd6,2016,0.789,0.608,0.0244,0.271,129.958,0
169,Snapback, Old Dominion,spotify:track:7I5fYc4qKJddht8Ozhqqdx,2016,0.687,0.793,0.305,0.673,100.991,3.23e-06
170,You Dont Own Me, Grace Featuring G-Eazy,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
171,Childs Play, Drake,spotify:track:3NxAG2ni1lLa8RKL6a0INc,2016,0.739,0.472,0.0145,0.289,80.03,7.27e-06
172,Still Here, Drake,spotify:track:4YJmZfvlheSziXem8HBWrj,2016,0.835,0.436,0.0235,0.234,133.942,0
173,Wherever I Go, OneRepublic,spotify:track:7kftK4n15rl1wbpfjSq2Tk,2016,0.346,0.7,0.0995,0.351,100.768,0
174,Nothing Is Promised, Mike WiLL Made-It x Rihanna,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
175,Light It Up, Major Lazer Featuring Nyla & Fuse ODG,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
176,Grammys, Drake Featuring Future,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
177,Think Of You, Chris Young Duet With Cassadee Pope,spotify:track:1MwhjvmxOhPTgs4BuHFP8t,2016,0.632,0.323,0.811,0.769,171.053,0
178,Gold, Kiiara,spotify:track:6ZSO7kPn8IMJFymyticbJO,2016,0.6,0.412,0.615,0.408,113.049,0.0025
179,Noise, Kenny Chesney,spotify:track:0XN2BcoaKE4Z2hnq1ZeDY1,2016,0.58,0.799,0.0095,0.583,109.965,0
180,Peter Pan, Kelsea Ballerini,spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo,2016,0.514,0.659,0.0284,0.463,76.483,0
181,Make You Miss Me, Sam Hunt,spotify:track:0xwPzLmBAYro8BUz7MrtAo,2016,0.612,0.468,0.168,0.165,146.026,0
182,American Country Love Song, Jake Owen,spotify:track:0O1x2tRm8ZpfDbcpOWZp7z,2016,0.529,0.891,0.0457,0.329,104.031,0
183,Might Not, Belly Featuring The Weeknd,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
184,With You, Drake Featuring PARTYNEXTDOOR,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
185,"Sit Still, Look Pretty", Daya,spotify:track:0EGuSSpuu9wmHCtvb4PdLO,2016,0.657,0.739,0.141,0.543,181.994,0
186,Mind Reader, Dustin Lynch,spotify:track:2MNapHbu7QASoukvVVIxyr,2016,0.394,0.8,0.0266,0.525,162.053,0
187,Formation, Beyonce,spotify:track:0VCZ8tS4za4kEwJHbMNVnY,2016,0.846,0.683,0.0452,0.613,122.988,1.74e-05
188,With You Tonight / Hasta El Amanecer, Nicky Jam,spotify:track:2GICtNjlmq5w1XIQ9s0D9y,2016,0.781,0.588,0.317,0.564,93.979,0
189,Ophelia, The Lumineers,spotify:track:3d8y0t70g7hw2FOWl9Z4Fm,2016,0.664,0.573,0.613,0.566,76.023,0.000363
190,Feel No Ways, Drake,spotify:track:3cjF2OFRmip8spwZYQRKxP,2016,0.589,0.673,0.0319,0.209,193.783,5.68e-06
191,Faded, Alan Walker,spotify:track:7gHs73wELdeycvS48JfIos,2016,0.589,0.651,0.0291,0.166,90.011,3.2e-06
192,Fix, Chris Lane,spotify:track:17Vry8h1fUTYg8NL6pHhem,2016,0.533,0.886,0.0952,0.704,99.988,0
193,Law, Yo Gotti Featuring E-40,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
194,Piece By Piece, Kelly Clarkson,spotify:track:2NELtMgQ8HSdrGrYQPLnC3,2016,0.59,0.808,0.000953,0.601,106.029,1.53e-06
195,Kiss It Better, Rihanna,spotify:track:7bmqcI1HQwx1PWwYyZO0lg,2016,0.618,0.812,0.273,0.868,95.093,0
196,Father Stretch My Hands Pt. 1, Kanye West,spotify:track:4KW1lqgSr8TKrvBII0Brf8,2016,0.714,0.566,0.142,0.449,113.074,1.25e-06
197,Moolah, Young Greatness,spotify:track:746PsZ5jTdqIJ6LgJAHcEZ,2016,0.706,0.568,0.0261,0.256,64.049,0
198,No Problem, Chance The Rapper Featuring Lil Wayne & 2 Chainz,N/A,2016,N/A,N/A,N/A,N/A,N/A,N/A
199,Youth, Troye Sivan,spotify:track:1cOyWWUr3oXJIxY0AjJEx9,2016,0.621,0.743,0.0667,0.596,91.51,0
200,See You Again, Wiz Khalifa Featuring Charlie Puth,spotify:track:4JZ9NUioOgDEVjDuBGukRV,2015,0.733,0.638,0.445,0.429,80.001,1.96e-05
201,Bad Blood, Taylor Swift Featuring Kendrick Lamar,N/A,2015,N/A,N/A,N/A,N/A,N/A,N/A
202,Trap Queen, Fetty Wap,spotify:track:2d8JP84HNLKhmd6IYOoupQ,2015,0.746,0.873,0.0244,0.817,148.075,0
