,Winter Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
0,Perfect, Ed Sheeran,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,2017,0.587,0.299,0.779,0.356,94.992,0
1,Rockstar, Post Malone Featuring 21 Savage,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
2,Havana, Camila Cabello Featuring Young Thug,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
3,Gucci Gang, Lil Pump,spotify:track:43ZyHQITOjhciSUUNPVRHc,2017,0.936,0.523,0.239,0.699,119.889,0
4,Thunder, Imagine Dragons,spotify:track:7BrsBU0BAytRDvROM4yCbn,2017,0.601,0.809,0.00763,0.249,167.96,0.0757
5,Too Good At Goodbyes, Sam Smith,spotify:track:3VlbOrM6nYPprVvzBZllE5,2017,0.661,0.373,0.615,0.523,91.5,0
6,No Limit, G-Eazy Featuring A$AP Rocky & Cardi B,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
7,Bad At Love, Halsey,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,2017,0.675,0.736,0.06,0.607,118.369,0
8,Bodak Yellow (Money Moves), Cardi B,spotify:track:3g2qgbWPl8TcgJIkstWpSV,2017,0.813,0.574,0.0606,0.546,124.982,0
9,What Lovers Do, Maroon 5 Featuring SZA,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
10,All I Want For Christmas Is You, Mariah Carey,spotify:track:0bYg9bo50gSsH3LtXe2SQn,2017,0.335,0.625,0.164,0.346,150.277,0
11,Feel It Still, Portugal. The Man,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,2017,0.801,0.795,0.0417,0.754,79.028,0.000113
12,Gummo, 6ix9ine,spotify:track:2vjmyyAnDUzilFYxOlTdO1,2017,0.689,0.761,0.0485,0.698,78.514,0
13,I Get The Bag, Gucci Mane Featuring Migos,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
14,MotorSport," Migos, Nicki Minaj & Cardi B",spotify:track:0bMqUbRs5r5aoTzrP6mA3G,2017,0.698,0.832,0.0681,0.73,139.011,0.789
15,Sorry Not Sorry, Demi Lovato,spotify:track:3Du2K5dLzmduCNp6uwuaL0,2017,0.702,0.635,0.0223,0.873,144.004,0
16,New Rules, Dua Lipa,spotify:track:2ekn2ttSfGqwhhate0LSR0,2017,0.771,0.696,0.00256,0.656,116.054,9.71e-06
17,Mi Gente, J Balvin & Willy William Featuring Beyonce,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
18,1-800-273-8255, Logic Featuring Alessia Cara & Khalid,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
19,Wolves, Selena Gomez X Marshmello,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
20,Him & I, G-Eazy & Halsey,spotify:track:5k38wzpLb15YgncyWdTZE4,2017,0.589,0.731,0.0534,0.191,87.908,0
21,Let You Down, NF,spotify:track:52okn5MNA47tk87PeZJLEL,2017,0.656,0.721,0.298,0.468,148.066,0
22,I Fall Apart, Post Malone,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,2017,0.573,0.543,0.0777,0.308,143.916,0
23,Bank Account, 21 Savage,spotify:track:2fQrGHiQOvpL9UgPvtYy6G,2017,0.884,0.346,0.0151,0.376,75.016,7.04e-06
24,Shape Of You, Ed Sheeran,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,2017,0.825,0.652,0.581,0.931,95.977,0
25,How Long, Charlie Puth,spotify:track:32DGGj6KlNuBr6WaqRxpxi,2017,0.849,0.581,0.189,0.779,110.008,3.61e-06
26,Love., Kendrick Lamar Featuring Zacari,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
27,Young Dumb & Broke, Khalid,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,2017,0.798,0.539,0.199,0.394,136.949,1.66e-05
28,The Way Life Goes, Lil Uzi Vert Featuring Nicki Minaj,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
29,Believer, Imagine Dragons,spotify:track:5VKSZDsidOFHrtlJb33Syo,2017,0.784,0.78,0.0492,0.722,124.953,0
30,Meant To Be, Bebe Rexha & Florida Georgia Line,spotify:track:3lFf4DnT68QjQGB3iq1BJ9,2017,0.671,0.668,0.161,0.487,153.953,0
31,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
32,Silence, Marshmello Featuring Khalid,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
33,Unforgettable, French Montana Featuring Swae Lee,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
34,Sky Walker, Miguel Featuring Travis Scott,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
35,Attention, Charlie Puth,spotify:track:4iLqG9SeJSnt0cSPICSjxv,2017,0.774,0.626,0.0969,0.777,100.041,3.12e-05
36,Rockin Around The Christmas Tree, Brenda Lee,spotify:track:28fuXrmmF9dYWx25dMW9dP,2017,0.676,0.56,0.652,0.828,141.285,0
37,The Weekend, SZA,spotify:track:0P6AWOA4LG1XOctzaVu5tt,2017,0.775,0.573,0.495,0.667,101.925,0
38,End Game, Taylor Swift Featuring Ed Sheeran & Future,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
39,Thats What I Like, Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,2017,0.853,0.56,0.013,0.86,134.066,0
40,Plain Jane, A$AP Ferg Featuring Nicki Minaj,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
41,The Christmas Song (Merry Christmas To You), Nat King Cole,spotify:track:1l2CvcIAL1MtPbtZhh0Z77,2017,0.359,0.15,0.844,0.204,139.208,1.15e-06
42,...Ready For It?, Taylor Swift,spotify:track:2yLa0QULdQr0qAIvVwN6B5,2017,0.616,0.776,0.0609,0.459,160.053,0
43,Ric Flair Drip, Offset & Metro Boomin,spotify:track:18n1SkWzgS4ebcZGhFlYms,2017,0.727,0.236,0.114,0.523,100.807,0.792
44,Its The Most Wonderful Time Of The Year, Andy Williams,spotify:track:5hslUAKq9I9CG2bAulFkHN,2017,0.24,0.598,0.766,0.776,202.082,0
45,Theres Nothing Holdin Me Back, Shawn Mendes,spotify:track:7JJmb5XwzOO8jgpou264Ml,2017,0.858,0.799,0.357,0.966,121.991,0
46,A Holly Jolly Christmas, Burl Ives,spotify:track:33BcB8XVwJU4qB7bDSkVya,2017,0.665,0.363,0.644,0.824,140.296,0
47,Rubbin Off The Paint, YBN Nahmir,spotify:track:1QRJb5VY3sIkCKcTuIKCrk,2017,0.596,0.699,0.00582,0.435,108.031,0
48,Congratulations, Post Malone Featuring Quavo,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
49,Humble., Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,2017,0.904,0.611,0.000259,0.4,150.02,2.03e-05
50,What About Us, P!nk,spotify:track:0Qh38w01QRXK6KHIv0e3hb,2017,0.489,0.588,0.0285,0.187,113.617,2.11e-06
51,Pills And Automobiles," Chris Brown Featuring Yo Gotti, A Boogie Wit da Hoodie & Kodak Black",N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
52,Tell Me You Love Me, Demi Lovato,spotify:track:3hYvGiw2Q8QE2YWdIJLBz0,2017,0.536,0.582,0.0241,0.253,82.142,0
53,Greatest Love Story, LANCO,spotify:track:2yQZwi1P8AkkxxFhQ8rMEK,2017,0.671,0.617,0.401,0.62,147.986,0
54,Let Me Go, Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
55,Roll In Peace, Kodak Black Featuring XXXTENTACION,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
56,Light It Up, Luke Bryan,spotify:track:5w3NgfV8v1nNZFLUBlGHIL,2017,0.602,0.929,0.118,0.677,130.024,0
57,Codeine Dreaming, Kodak Black Featuring Lil Wayne,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
